Mõõtepunkti kood;N/A
Mõõtepunkti aadress;N/A
;
;
Periood;Tarbitud energia (võrgust) / kWh
01.03.2023 00:00;2,011
01.03.2023 01:00;1,262
01.03.2023 02:00;1,677
01.03.2023 03:00;2,041
01.03.2023 04:00;1,408
01.03.2023 05:00;2,713
01.03.2023 06:00;2,459
01.03.2023 07:00;2,893
01.03.2023 08:00;2,735
01.03.2023 09:00;1,706
01.03.2023 10:00;0,846
01.03.2023 11:00;1,112
01.03.2023 12:00;1,28
01.03.2023 13:00;1,114
01.03.2023 14:00;0,939
01.03.2023 15:00;1,556
01.03.2023 16:00;2,624
01.03.2023 17:00;1,436
01.03.2023 18:00;1,499
01.03.2023 19:00;1,947
01.03.2023 20:00;2,119
01.03.2023 21:00;1,821
01.03.2023 22:00;2,546
01.03.2023 23:00;1,7
02.03.2023 00:00;1,434
02.03.2023 01:00;0,927
02.03.2023 02:00;1,57
02.03.2023 03:00;1,611
02.03.2023 04:00;1,308
02.03.2023 05:00;1,945
02.03.2023 06:00;2,185
02.03.2023 07:00;2,817
02.03.2023 08:00;3,296
02.03.2023 09:00;3,492
02.03.2023 10:00;3,109
02.03.2023 11:00;2,86
02.03.2023 12:00;2,139
02.03.2023 13:00;1,052
02.03.2023 14:00;1,253
02.03.2023 15:00;0,796
02.03.2023 16:00;1,198
02.03.2023 17:00;2,099
02.03.2023 18:00;1,372
02.03.2023 19:00;2,036
02.03.2023 20:00;2,125
02.03.2023 21:00;1,247
02.03.2023 22:00;2,121
02.03.2023 23:00;2,399
03.03.2023 00:00;1,415
03.03.2023 01:00;2,109
03.03.2023 02:00;1,06
03.03.2023 03:00;1,498
03.03.2023 04:00;1,544
03.03.2023 05:00;1,235
03.03.2023 06:00;1,968
03.03.2023 07:00;3,219
03.03.2023 08:00;2,696
03.03.2023 09:00;1,899
03.03.2023 10:00;1,053
03.03.2023 11:00;1,004
03.03.2023 12:00;0,816
03.03.2023 13:00;0,74
03.03.2023 14:00;0,917
03.03.2023 15:00;0,87
03.03.2023 16:00;0,662
03.03.2023 17:00;0,947
03.03.2023 18:00;1,463
03.03.2023 19:00;1,251
03.03.2023 20:00;1,276
03.03.2023 21:00;1,321
03.03.2023 22:00;1,668
03.03.2023 23:00;1,713
04.03.2023 00:00;1,866
04.03.2023 01:00;2,269
04.03.2023 02:00;1,763
04.03.2023 03:00;1,476
04.03.2023 04:00;2,224
04.03.2023 05:00;1,671
04.03.2023 06:00;1,432
04.03.2023 07:00;2,002
04.03.2023 08:00;1,5
04.03.2023 09:00;1,495
04.03.2023 10:00;2,12
04.03.2023 11:00;1,451
04.03.2023 12:00;1,931
04.03.2023 13:00;2,058
04.03.2023 14:00;2,07
04.03.2023 15:00;2,325
04.03.2023 16:00;1,243
04.03.2023 17:00;2,722
04.03.2023 18:00;1,756
04.03.2023 19:00;1,981
04.03.2023 20:00;1,839
04.03.2023 21:00;1,464
04.03.2023 22:00;2,317
04.03.2023 23:00;1,189
05.03.2023 00:00;1,969
05.03.2023 01:00;1,716
05.03.2023 02:00;1,323
05.03.2023 03:00;2,202
05.03.2023 04:00;1,214
05.03.2023 05:00;1,87
05.03.2023 06:00;1,817
05.03.2023 07:00;1,221
05.03.2023 08:00;2,511
05.03.2023 09:00;1,738
05.03.2023 10:00;1,953
05.03.2023 11:00;1,648
05.03.2023 12:00;1,076
05.03.2023 13:00;1,768
05.03.2023 14:00;1,523
05.03.2023 15:00;1,187
05.03.2023 16:00;2,712
05.03.2023 17:00;3,898
05.03.2023 18:00;3,345
05.03.2023 19:00;3,763
05.03.2023 20:00;4,116
05.03.2023 21:00;2,603
05.03.2023 22:00;2,052
05.03.2023 23:00;2,043
06.03.2023 00:00;1,388
06.03.2023 01:00;1,691
06.03.2023 02:00;2,005
06.03.2023 03:00;1,433
06.03.2023 04:00;1,591
06.03.2023 05:00;2,352
06.03.2023 06:00;1,846
06.03.2023 07:00;3,637
06.03.2023 08:00;3,956
06.03.2023 09:00;2,952
06.03.2023 10:00;2,295
06.03.2023 11:00;1,888
06.03.2023 12:00;1,616
06.03.2023 13:00;2,525
06.03.2023 14:00;2,181
06.03.2023 15:00;1,926
06.03.2023 16:00;1,05
06.03.2023 17:00;2,316
06.03.2023 18:00;1,712
06.03.2023 19:00;2,27
06.03.2023 20:00;1,857
06.03.2023 21:00;2,511
06.03.2023 22:00;2,191
06.03.2023 23:00;2,034
07.03.2023 00:00;3,479
07.03.2023 01:00;1,867
07.03.2023 02:00;2,799
07.03.2023 03:00;2,017
07.03.2023 04:00;2,873
07.03.2023 05:00;2,328
07.03.2023 06:00;2,756
07.03.2023 07:00;3,267
07.03.2023 08:00;3,095
07.03.2023 09:00;2,003
07.03.2023 10:00;2,04
07.03.2023 11:00;1,59
07.03.2023 12:00;2,147
07.03.2023 13:00;1,393
07.03.2023 14:00;1,88
07.03.2023 15:00;1,457
07.03.2023 16:00;1,385
07.03.2023 17:00;1,133
07.03.2023 18:00;1,372
07.03.2023 19:00;2,019
07.03.2023 20:00;3,987
