Mõõtepunkti kood;N/A
Mõõtepunkti aadress;N/A
;
;
Periood;consumption
01.10.2023 00:00;0,33
01.10.2023 01:00;0,215
01.10.2023 02:00;0,165
01.10.2023 03:00;0,238
01.10.2023 04:00;0,194
01.10.2023 05:00;0,222
01.10.2023 06:00;0,155
01.10.2023 07:00;0,202
01.10.2023 08:00;0,553
01.10.2023 09:00;0,449
01.10.2023 10:00;0,5
01.10.2023 11:00;0,55
01.10.2023 12:00;0,402
01.10.2023 13:00;0,704
01.10.2023 14:00;0,486
01.10.2023 15:00;1,09
01.10.2023 16:00;1,351
01.10.2023 17:00;0,563
01.10.2023 18:00;0,539
01.10.2023 19:00;0,621
01.10.2023 20:00;0,737
01.10.2023 21:00;0,447
01.10.2023 22:00;0,329
01.10.2023 23:00;0,303
02.10.2023 00:00;0,224
02.10.2023 01:00;0,156
02.10.2023 02:00;0,181
02.10.2023 03:00;0,18
02.10.2023 04:00;0,315
02.10.2023 05:00;0,195
02.10.2023 06:00;0,182
02.10.2023 07:00;0,319
02.10.2023 08:00;0,237
02.10.2023 09:00;0,231
02.10.2023 10:00;0,208
02.10.2023 11:00;0,165
02.10.2023 12:00;0,161
02.10.2023 13:00;0,151
02.10.2023 14:00;0,135
02.10.2023 15:00;0,228
02.10.2023 16:00;0,154
02.10.2023 17:00;0,126
02.10.2023 18:00;1,332
02.10.2023 19:00;0,927
02.10.2023 20:00;0,549
02.10.2023 21:00;0,701
02.10.2023 22:00;0,51
02.10.2023 23:00;1,041
03.10.2023 00:00;0,911
03.10.2023 01:00;1,437
03.10.2023 02:00;0,206
03.10.2023 03:00;0,192
03.10.2023 04:00;0,178
03.10.2023 05:00;0,166
03.10.2023 06:00;0,266
03.10.2023 07:00;0,308
03.10.2023 08:00;0,151
03.10.2023 09:00;0,183
03.10.2023 10:00;0,199
03.10.2023 11:00;0,186
03.10.2023 12:00;0,156
03.10.2023 13:00;0,158
03.10.2023 14:00;0,503
03.10.2023 15:00;0,316
03.10.2023 16:00;0,194
03.10.2023 17:00;0,73
03.10.2023 18:00;0,981
03.10.2023 19:00;0,462
03.10.2023 20:00;0,486
03.10.2023 21:00;0,637
03.10.2023 22:00;0,479
03.10.2023 23:00;0,289
04.10.2023 00:00;0,227
04.10.2023 01:00;0,184
04.10.2023 02:00;0,217
04.10.2023 03:00;0,155
04.10.2023 04:00;0,187
04.10.2023 05:00;0,142
04.10.2023 06:00;0,183
04.10.2023 07:00;0,735
04.10.2023 08:00;0,885
04.10.2023 09:00;0,574
04.10.2023 10:00;0,245
04.10.2023 11:00;0,175
04.10.2023 12:00;0,328
04.10.2023 13:00;0,19
04.10.2023 14:00;0,151
04.10.2023 15:00;0,598
04.10.2023 16:00;0,473
04.10.2023 17:00;0,388
04.10.2023 18:00;0,258
04.10.2023 19:00;0,402
04.10.2023 20:00;0,523
04.10.2023 21:00;0,559
04.10.2023 22:00;0,584
04.10.2023 23:00;0,291
05.10.2023 00:00;0,189
05.10.2023 01:00;0,142
05.10.2023 02:00;0,179
05.10.2023 03:00;0,666
05.10.2023 04:00;0,917
05.10.2023 05:00;0,183
05.10.2023 06:00;0,187
05.10.2023 07:00;0,295
05.10.2023 08:00;0,289
05.10.2023 09:00;0,269
05.10.2023 10:00;0,278
05.10.2023 11:00;0,179
05.10.2023 12:00;0,474
05.10.2023 13:00;0,373
05.10.2023 14:00;0,444
05.10.2023 15:00;0,578
05.10.2023 16:00;0,403
05.10.2023 17:00;0,334
05.10.2023 18:00;0,642
05.10.2023 19:00;0,776
05.10.2023 20:00;0,624
05.10.2023 21:00;0,5
05.10.2023 22:00;0,262
05.10.2023 23:00;0,195
06.10.2023 00:00;0,18
06.10.2023 01:00;0,978
06.10.2023 02:00;0,477
06.10.2023 03:00;0,164
06.10.2023 04:00;0,16
06.10.2023 05:00;0,197
06.10.2023 06:00;0,555
06.10.2023 07:00;0,904
06.10.2023 08:00;0,167
06.10.2023 09:00;0,157
06.10.2023 10:00;0,211
06.10.2023 11:00;0,139
06.10.2023 12:00;0,458
06.10.2023 13:00;0,352
06.10.2023 14:00;0,473
06.10.2023 15:00;0,184
06.10.2023 16:00;0,201
06.10.2023 17:00;1,267
06.10.2023 18:00;0,257
06.10.2023 19:00;0,162
06.10.2023 20:00;0,181
06.10.2023 21:00;0,227
06.10.2023 22:00;0,406
06.10.2023 23:00;0,826
07.10.2023 00:00;0,337
07.10.2023 01:00;0,794
07.10.2023 02:00;0,757
07.10.2023 03:00;0,464
07.10.2023 04:00;0,241
07.10.2023 05:00;0,167
07.10.2023 06:00;0,175
07.10.2023 07:00;0,137
07.10.2023 08:00;0,161
07.10.2023 09:00;0,164
07.10.2023 10:00;0,199
07.10.2023 11:00;0,207
07.10.2023 12:00;0,321
07.10.2023 13:00;0,191
07.10.2023 14:00;0,658
07.10.2023 15:00;0,456
07.10.2023 16:00;0,818
07.10.2023 17:00;0,207
07.10.2023 18:00;1,074
07.10.2023 19:00;0,567
07.10.2023 20:00;0,347
07.10.2023 21:00;0,216
