Mõõtepunkti kood;N/A
Mõõtepunkti aadress;N/A, -, -
;
;
Periood;Tarbitud energia (võrgust) / kWh
28.03.2022 00:00;0,127
28.03.2022 01:00;0,131
28.03.2022 02:00;0,236
28.03.2022 03:00;0,883
28.03.2022 04:00;0,137
28.03.2022 05:00;0,29
28.03.2022 06:00;1,618
28.03.2022 07:00;0,109
28.03.2022 08:00;0,124
28.03.2022 09:00;0,07
28.03.2022 10:00;0,077
28.03.2022 11:00;0,084
28.03.2022 12:00;0,086
28.03.2022 13:00;0,079
28.03.2022 14:00;0,072
28.03.2022 15:00;0,072
28.03.2022 16:00;0,068
28.03.2022 17:00;0,082
28.03.2022 18:00;0,263
28.03.2022 19:00;0,86
28.03.2022 20:00;0,266
28.03.2022 21:00;0,243
28.03.2022 22:00;0,966
28.03.2022 23:00;0,146
29.03.2022 00:00;0,132
29.03.2022 01:00;0,126
29.03.2022 02:00;0,124
29.03.2022 03:00;0,123
29.03.2022 04:00;0,316
29.03.2022 05:00;1,308
29.03.2022 06:00;0,342
29.03.2022 07:00;0,605
29.03.2022 08:00;0,13
29.03.2022 09:00;0,115
29.03.2022 10:00;0,113
29.03.2022 11:00;0,129
29.03.2022 12:00;0,132
29.03.2022 13:00;0,133
29.03.2022 14:00;0,128
29.03.2022 15:00;0,12
29.03.2022 16:00;0,199
29.03.2022 17:00;0,188
29.03.2022 18:00;0,668
29.03.2022 19:00;0,472
29.03.2022 20:00;0,259
29.03.2022 21:00;0,296
29.03.2022 22:00;0,195
29.03.2022 23:00;0,135
30.03.2022 00:00;1,362
30.03.2022 01:00;0,806
30.03.2022 02:00;0,137
30.03.2022 03:00;0,137
30.03.2022 04:00;0,12
30.03.2022 05:00;1,118
30.03.2022 06:00;0,745
30.03.2022 07:00;0,233
30.03.2022 08:00;0,381
30.03.2022 09:00;0,217
30.03.2022 10:00;0,206
30.03.2022 11:00;0,122
30.03.2022 12:00;0,07
30.03.2022 13:00;0,078
30.03.2022 14:00;0,093
30.03.2022 15:00;1,022
30.03.2022 16:00;0,116
30.03.2022 17:00;0,08
30.03.2022 18:00;0,267
30.03.2022 19:00;0,327
30.03.2022 20:00;0,231
30.03.2022 21:00;1,289
30.03.2022 22:00;0,225
30.03.2022 23:00;0,131
31.03.2022 00:00;1,353
31.03.2022 01:00;1,062
31.03.2022 02:00;0,146
31.03.2022 03:00;0,943
31.03.2022 04:00;0,132
31.03.2022 05:00;0,153
31.03.2022 06:00;0,148
31.03.2022 07:00;0,899
31.03.2022 08:00;0,104
31.03.2022 09:00;0,137
31.03.2022 10:00;0,12
31.03.2022 11:00;0,082
31.03.2022 12:00;0,085
31.03.2022 13:00;0,055
31.03.2022 14:00;0,079
31.03.2022 15:00;0,084
31.03.2022 16:00;0,062
31.03.2022 17:00;0,094
31.03.2022 18:00;0,146
31.03.2022 19:00;0,917
31.03.2022 20:00;0,219
31.03.2022 21:00;0,261
31.03.2022 22:00;0,215
31.03.2022 23:00;0,151
01.04.2022 00:00;1,36
01.04.2022 01:00;1,173
01.04.2022 02:00;0,978
01.04.2022 03:00;0,138
01.04.2022 04:00;0,136
01.04.2022 05:00;0,257
01.04.2022 06:00;0,957
01.04.2022 07:00;0,206
01.04.2022 08:00;0,17
01.04.2022 09:00;0,133
01.04.2022 10:00;0,11
01.04.2022 11:00;0,064
01.04.2022 12:00;0,064
01.04.2022 13:00;0,117
01.04.2022 14:00;0,199
01.04.2022 15:00;0,285
01.04.2022 16:00;0,204
01.04.2022 17:00;0,232
01.04.2022 18:00;0,822
01.04.2022 19:00;0,255
01.04.2022 20:00;0,225
01.04.2022 21:00;0,27
01.04.2022 22:00;0,258
01.04.2022 23:00;0,171
02.04.2022 00:00;1,362
02.04.2022 01:00;0,612
02.04.2022 02:00;0,127
02.04.2022 03:00;0,135
02.04.2022 04:00;0,136
02.04.2022 05:00;0,283
02.04.2022 06:00;0,67
02.04.2022 07:00;0,115
02.04.2022 08:00;0,275
02.04.2022 09:00;0,249
02.04.2022 10:00;0,177
02.04.2022 11:00;0,101
02.04.2022 12:00;0,138
02.04.2022 13:00;0,111
02.04.2022 14:00;0,323
02.04.2022 15:00;1,734
02.04.2022 16:00;0,206
02.04.2022 17:00;0,111
02.04.2022 18:00;1,362
02.04.2022 19:00;0,168
02.04.2022 20:00;0,292
02.04.2022 21:00;0,311
02.04.2022 22:00;0,255
02.04.2022 23:00;0,172
03.04.2022 00:00;1,537
03.04.2022 01:00;1,411
03.04.2022 02:00;0,218
03.04.2022 03:00;0,709
03.04.2022 04:00;0,381
03.04.2022 05:00;0,132
03.04.2022 06:00;0,136
03.04.2022 07:00;0,136
03.04.2022 08:00;0,186
03.04.2022 09:00;0,379
03.04.2022 10:00;0,388
03.04.2022 11:00;0,496
03.04.2022 12:00;0,88
03.04.2022 13:00;0,318
03.04.2022 14:00;0,092
03.04.2022 15:00;0,967
03.04.2022 16:00;0,24
03.04.2022 17:00;0,279
03.04.2022 18:00;0,191
03.04.2022 19:00;0,244
03.04.2022 20:00;0,189
