EHRkood,ehitisePindala,ehitiseMaht,ehitisalunePind,suletud_netopind,energiaKlass,mahtBruto,maxKorrusteArv,yldkasut_pind,esmane_kasutus,linn
121363179_222,650.0,2584.0,356.0,650.0,A,2584.0,3,83.2,2023,Pärnu
121363182_222,632.4,2528.0,336.0,632.4,A,2528.0,3,79.3,2023,Pärnu
121363185_222,616.3,2465.0,315.0,616.3,A,2465.0,3,73.0,2023,Pärnu
103014811_223,3229.4,11903.0,722.0,3229.4,E,11903.0,5,410.7,1975,Pärnu
103015648_223,3757.7,12450.0,804.7,3757.7,D,12450.0,5,713.8,1976,Pärnu
103015786_223,3220.4,11671.0,711.0,3220.4,D,11671.0,5,432.7,1999,Pärnu
104018086_224,9860.5,33240.0,1258.0,9860.5,D,33240.0,9,1888.3,1995,Tartu
104018376_224,7950.8,16000.0,500.0,7950.8,D,16000.0,9,,1995,Tartu
104023804_224,9890.2,34109.0,1246.0,9890.2,E,34109.0,9,1005.6,1989,Tartu
104018213_225,4989.8,17111.0,664.0,4989.8,D,17111.0,9,645.3,1989,Tartu
104019313_225,4988.3,17111.0,657.0,4988.3,D,17111.0,9,1021.1,1990,Tartu
104036004_225,5003.3,17111.0,657.0,5003.3,D,17111.0,9,570.8,1989,Tartu
